
   THE FOLLOWING TABLE IS PRINTED FOR ALL ELEMENTS WITH TYPE C3D8 AVERAGED AT THE NODES

       NODE  FOOT-   S11         S22         S33         S12         S13         S23     
             NOTE 

         271       -3922.       3748.       4280.      -60.80       366.9      -1460.
         272       -3784.       3472.       3540.      -13.35       477.4      -1519.
         273       -3923.       2879.       3259.       6.288       597.5      -1538.
         274       -3829.       2738.       3099.       108.7       767.1      -1544.
         275       -3117.       4542.       2818.       24.55       901.4      -1535.
         276       -3255.       3085.       3873.      -48.93       1048.      -1495.
         277       -2967.       4299.       3580.      -34.98       1096.      -1548.
         278       -3216.       3068.       2393.      -92.39       1219.      -1516.
         279       -2259.       4196.       3213.      -145.1       1386.      -1426.
         280       -1922.       4021.       2862.      -257.0       1482.      -1488.
         281       -1507.       4485.       2908.      -341.4       1566.      -1427.
         282       -1645.       3753.       1845.      -410.8       1643.      -1363.
         283       -1246.       4206.       2377.      -571.7       1734.      -1339.
         284       -1261.       3523.       1913.      -634.5       1764.      -1338.
         285       -748.0       3253.       1431.      -603.9       1816.      -1306.
         286       -95.50       3980.       1342.      -685.1       1880.      -1251.
         287        381.0       4397.       1354.      -787.2       1874.      -1154.
         288        709.2       5132.       1280.      -932.6       1906.      -1044.
         289        1185.       4223.       997.3      -1015.       1908.      -964.5
         290        1183.       4458.       440.3      -1108.       1840.      -847.4
         291        1521.       4369.       145.6      -1166.       1783.      -756.2
         292        1753.       3834.      -429.7      -1257.       1807.      -671.3
         293        1662.       3007.      -1210.      -1331.       1732.      -589.2
         294        2115.       3666.      -1202.      -1321.       1580.      -419.7
         295        2973.       3918.      -958.4      -1351.       1495.      -377.1
         296        2917.       4491.      -1904.      -1432.       1418.      -317.3
         297        3293.       5637.      -1544.      -1501.       1294.      -150.4
         298        4096.       6368.      -1666.      -1534.       1301.      -38.58
         299        3238.       4179.      -2466.      -1553.       1225.       19.77
         300        3263.       4106.      -2694.      -1582.       1035.       55.02
         301        3121.       4083.      -3255.      -1607.       834.1       62.62
         302        3700.       5202.      -3231.      -1656.       725.3       185.3
         303        3462.       2863.      -4068.      -1624.       660.1       241.7
         304        3877.       3101.      -4220.      -1571.       584.0       144.1
         305        4451.       3937.      -4006.      -1537.       463.3       160.8
         306        3029.       3865.      -4699.      -1521.       303.6       235.5
         307        3878.       4063.      -4412.      -1508.       183.1       216.6
         308        4095.       3804.      -4551.      -1506.       150.9       94.88
         309       -624.2      -5679.      -6749.      -95.83      -82.86      -124.6
         310        37.67      -6016.      -6222.      -8.595      -112.7      -1.867
         311       -347.7      -6809.      -5888.      -23.99      -58.32       6.918
         312       -6821.      -4424.      -707.7       192.5       132.3      -607.0
         313       -6509.      -3495.      -407.9       347.1       331.4      -485.7
         314       -6489.      -3820.      -365.6       368.8       562.6      -561.9
         315       -6305.      -3514.      -553.1       433.5       825.9      -657.6
         316       -6252.      -3587.      -583.8       555.1       1030.      -646.6
         317       -6179.      -3567.      -673.0       681.0       1217.      -733.4
         318       -6063.      -3420.      -856.6       764.5       1323.      -748.3
         319       -5875.      -3217.      -885.7       772.1       1425.      -825.1
         320       -5474.      -2611.      -922.6       782.2       1589.      -890.7
         321       -5450.      -2576.      -1075.       726.2       1745.      -937.5
         322       -5474.      -2972.      -1460.       605.6       1857.      -948.9
         323       -5052.      -2245.      -1730.       537.7       1971.      -893.2
         324       -4689.      -1791.      -1690.       496.2       2033.      -894.1
         325       -4445.      -1464.      -1786.       429.5       2112.      -890.3
         326       -4162.      -1152.      -1994.       320.8       2205.      -840.9
         327       -4099.      -1399.      -2575.       122.5       2216.      -633.6
         328       -4191.      -2212.      -2119.      -108.5       2266.      -616.6
         329       -3432.      -1673.      -2530.      -295.8       2428.      -681.3
         330       -3509.      -1892.      -2894.      -398.5       2288.      -534.4
         331       -3330.      -998.1      -3036.      -519.6       2430.      -320.1
         332       -2990.      -1277.      -3327.      -592.8       2383.      -192.1
         333       -2623.      -616.9      -3191.      -643.7       2375.      -85.85
         334       -2638.      -883.5      -3671.      -723.3       2387.       32.07
         335       -2446.      -958.5      -3953.      -852.5       2388.       210.1
         336       -2137.      -838.6      -4098.      -876.8       2322.       388.1
         337       -1988.      -898.1      -4425.      -842.7       2255.       516.2
         338       -1942.      -1401.      -4768.      -854.1       2226.       593.4
         339       -1765.      -2307.      -5212.      -920.1       2167.       633.2
         340       -1458.      -2128.      -5299.      -950.9       2056.       658.3
         341       -1336.      -1865.      -5319.      -836.4       1906.       723.0
         342       -897.0      -2456.      -5547.      -871.6       1834.       694.3
         343       -925.0      -2217.      -5848.      -847.9       1732.       626.7
         344       -1026.      -2063.      -6021.      -660.8       1560.       573.4
         345       -839.7      -2695.      -6234.      -526.3       1410.       504.6
         346       -852.9      -2949.      -6447.      -565.5       1274.       378.6
         347       -502.5      -3272.      -6462.      -575.1       1054.       195.7
         348       -492.7      -3954.      -6530.      -638.1       789.4     -0.9717
         349       -515.4      -4702.      -6599.      -587.4       535.2      -134.1
         350       -452.2      -5273.      -6640.      -561.0       311.4      -69.58
         351       -460.9      -5649.      -6539.      -702.7       108.3       13.88
         352       -6251.      -5744.      -243.6      -3.724       32.12       23.25
         353       -6934.      -5604.      -320.6       102.0       48.31      -6.469
         354       -7515.      -5656.      -697.3       251.4       28.66      -97.70
         355       -369.5      -7114.      -5994.       126.2       179.9      -97.53
         356       -303.2      -6954.      -6266.       211.4       365.5      -286.7
         357       -976.8      -5648.      -5710.       126.5       485.9      -495.1
         358       -985.0      -6632.      -6167.       61.98       583.8      -527.4
         359       -505.6      -6762.      -6392.       75.79       750.1      -408.8
         360       -710.0      -5674.      -5850.       61.57       941.1      -421.9
         361       -1036.      -4127.      -5708.      -68.60       1057.      -442.9
         362       -1202.      -3616.      -5671.      -140.3       1233.      -301.3
         363       -1230.      -3654.      -5406.      -246.5       1435.      -109.9
         364       -1604.      -4329.      -5402.      -244.4       1533.      -96.79
         365       -1842.      -2894.      -4942.      -260.8       1577.      -168.0
         366       -1701.      -2420.      -4816.      -344.7       1644.      -202.4
         367       -1977.      -2145.      -4831.      -425.8       1737.      -147.0
         368       -1889.      -2672.      -4850.      -387.5       1884.      -54.16
         369       -1797.      -2618.      -4414.      -230.1       1916.      -52.96
         370       -2466.      -2006.      -4249.      -282.8       1993.      -236.3
         371       -2653.      -1925.      -3927.      -474.2       2063.      -223.3
         372       -3136.      -2622.      -3902.      -406.6       2017.      -147.2
         373       -2930.      -1820.      -3362.      -379.6       1987.      -289.6
         374       -2932.      -1215.      -3149.      -419.7       2076.      -189.2
         375       -3609.      -3375.      -3401.      -336.8       2114.      -152.0
         376       -3835.      -2546.      -3121.      -291.8       2077.      -247.6
         377       -3837.      -2699.      -2965.      -288.6       2062.      -295.1
         378       -3720.      -2808.      -2792.      -281.7       2040.      -404.8
         379       -3782.      -1178.      -1867.      -235.3       1971.      -434.0
         380       -4441.      -1251.      -2256.      -306.2       1901.      -430.2
         381       -4557.      -2720.      -1840.      -335.7       1854.      -348.6
         382       -4783.      -2719.      -1691.      -247.2       1764.      -259.3
         383       -4799.      -3272.      -1711.      -207.8       1616.      -273.3
         384       -4948.      -3204.      -1417.      -134.3       1540.      -267.5
         385       -5386.      -4039.      -1483.      -75.25       1464.      -267.9
         386       -5651.      -5241.      -1208.      -80.33       1377.      -196.4
         387       -5731.      -4580.      -1416.      -87.07       1240.      -132.4
         388       -5600.      -4722.      -1021.      -83.93       1095.      -123.8
         389       -5612.      -5816.      -745.5      -103.5       938.3       26.02
         390       -5853.      -6517.      -569.9       4.411       820.1       133.8
         391       -6118.      -5530.      -993.5       128.7       626.6       28.77
         392       -6421.      -7086.      -903.1       63.89       525.4      -119.8
         393       -6111.      -6163.      -596.9      -74.28       293.2      -110.2
         394       -6103.      -6510.      -499.4      -115.2       120.0       10.67
         395       -4197.       4495.       439.5      -56.59       168.3      -962.8
         396       -4778.       2355.       11.55      -45.56       317.4      -1012.
         397       -4076.       4847.       521.8       27.94       437.9      -1015.
         398       -3987.       4666.       791.9      -19.46       586.6      -963.6
         399       -4193.       5079.       81.01      -48.13       743.3      -960.7
         400       -4103.       4683.       213.9      -42.56       870.7      -1019.
         401       -4125.       4317.       376.8      -79.61       967.3      -1051.
         402       -3670.       5254.       477.5      -107.2       1110.      -1035.
         403       -3694.       4436.       113.0      -137.6       1251.      -1031.
         404       -3186.       5417.      -69.46      -110.3       1391.      -1068.
         405       -3604.       5028.      -413.6      -193.7       1514.      -1100.
         406       -3293.       5039.      -244.7      -260.0       1593.      -1099.
         407       -3165.       4988.      -676.3      -351.3       1660.      -1109.
         408       -3119.       5232.      -713.3      -433.9       1735.      -1046.
         409       -2872.       4981.      -844.3      -516.1       1820.      -982.8
         410       -2593.       5759.      -1026.      -539.6       1882.      -970.2
         411       -2143.       6583.      -828.6      -598.7       1915.      -919.3
         412       -1679.       7224.      -836.1      -669.6       1920.      -925.7
         413       -1639.       7005.      -1217.      -709.5       1978.      -907.3
         414       -1860.       6097.      -1733.      -775.1       1977.      -832.5
         415       -1907.       5925.      -1983.      -893.6       1970.      -795.2
         416       -1052.       6348.      -1666.      -961.9       1958.      -687.1
         417       -791.1       6776.      -1814.      -989.3       1909.      -578.7
         418       -1211.       5373.      -2539.      -1070.       1852.      -497.2
         419       -690.4       6899.      -2119.      -1076.       1835.      -475.7
         420       -919.6       5427.      -2764.      -1044.       1802.      -476.5
         421       -462.2       6681.      -2514.      -1077.       1681.      -414.2
         422       -28.20       6120.      -2825.      -1116.       1622.      -312.6
         423       -519.9       4113.      -3913.      -1080.       1546.      -183.8
         424        146.8       5120.      -3537.      -1110.       1432.      -158.1
         425       -371.7       5329.      -3906.      -1117.       1298.      -83.73
         426       -583.3       4216.      -4372.      -1142.       1202.      -101.8
         427        290.2       4666.      -3748.      -1071.       1077.      -137.7
         428        597.5       4470.      -4125.      -1021.       932.9      -127.1
         429        79.37       4773.      -4437.      -985.7       803.1      -48.49
         430        42.44       4941.      -4330.      -1001.       679.6      -92.14
         431        150.7       4295.      -4315.      -1010.       584.3      -173.3
         432        486.8       4043.      -4258.      -976.7       433.4      -189.2
         433        255.2       3583.      -4550.      -958.6       284.6      -92.33
         434        243.9       3482.      -4504.      -953.2       145.0      -38.30
         435       -4719.       2291.       189.6       178.8       86.80      -703.5
         436        345.7       2400.      -4648.      -886.4      -116.3      -7.219
         437       -118.5      -5013.      -4645.       287.0       48.48       133.6
         438       -243.2      -3812.      -3695.       396.9       33.54       16.09
         439       -67.98      -2266.      -2517.       547.8       24.83       88.44
         440       -332.0      -868.8      -1807.       377.3       41.41       77.48
         441       -918.0       433.4      -898.4       418.5       123.2      -10.86
         442       -931.4       27.15      -1485.       426.4       325.0      -3.865
